,0
254,i hope more people get into these podcasts. feel too many people cling to headlines and captions that offer very little substance and a great deal of emotional knee-jerks
255,Since Sarkozy France has shifted from neutral to not neutral. Sarkozy has cleaned all the hierarchy in the military and the intelligence services that were still in line with the neutrality from the De Gaule era. Every president since Sarkozy has something in common with Sarkozy.
256,"It’s refreshing to see an interviewer allowing Oliver Stone to talk without interrupting, I just discovered this guy I subscribed it."
257,Used to hate Oliver but he is a soldier for freedom and that means more than most disagreements.
258,"15:20 Interesting he does not speak on intuition that we all do, when asked about war and energy."
259,Most of us have lost the ability to think critically. We hide this by calling those who present a different view insane.
260,"Stone is 100% correct on the US, though."
261,"""Democracy forgives a lot of sin"" - O.S."
262,I love how he talks about his opinions and selective arguments as fact. I kind of feel our plasticity of opinions and our open eye objective evaluations gets reduced as we age.
263,Best interview Lex has done so far and I've watched all of them! I wish I could give 100 likes to this video!
264,1:31:54 Stone says I voted for Biden because I was afraid of TRUMP. He voted for an obviously demented man who can barely get through a paragraph without gaffing. I AM AMAZED THIS VOTED FOR BIDEN. I know that's my problem but REALLY?
265,"8:22 - Samozřejmě, nukleární energie je v současné době nenahraditelná. Technologie pro získávání a uchovávání energie z obnovitelných zdrojů stále nemohou ani zdaleka a především konzistetně pokrýt rostoucí spotřebu el. energie. V kombinaci s rozvojem elektromobility domnívám se hrozí v některých státech EU kolaps celé rozvodné sítě. Ideální je dle mého názoru fúzní reaktor, nejsem schopen odhadnout jak daleko je ke spuštění rentabilního provzu,ale již před více než dvaceti lety se odhadovalo tak padesát let. Záměrné odstřelování a terorizace obsluhy některých jaderných elektráren na Ukrajině navíc ukazuje vysokou úroveň zabezpečení současných štěpných jaderných reaktorů. Nevím jestli tak už neučinili,ale dle mého názoru by Německo rozhodně mělo znovu spustit odstavené elektrárny a to minimálně do té doby, než najde jinou náhradu než je ruský plyna a ropa a české Dukovany a Temelín."
266,"I don't remember how this interview appear on my screen a few days ago. It is so lengthy I had to interrupt it and finished the rest now. This is awesome. Questions were so good so penetrating. Oliver Stone was so generous opening his brains to show us there is so much more in life than what we are led to perceive. Wonderful.
On the question of life it began when we discover our brains. It is so exhilarating when we put something in it. It is so satisfactory when we can come up with something nice. If were to try hard our Monkey king could always push the Buddha hand (paradigm) back. 
You two are still a long way from your Buddha's hand. Enjoy the ride. 
I certainly was exhilarating watching the interview. Tks."
267,What an interview.
268,"The hard work you’ve been doing is readily apparent, and appreciated."
269,"His Untold History of the United States series is a must watch. Great interview Lex, I see you really trying to be more empathetic and expansive in your work. I’d like to think Rick Rubin tilted your perspective, too (he is iconic)"
270,"Lex, you allowed him to help us all broaden perspective even with the constraints of cancel culture clearly troubling Oliver. Thank you, this is an amazing interview considering the propaganda wars."
271,"This  was  the  greatest  interview  I have seen, I much appreciate  the open heartiness and truth  of both the interviewer and  Mr stone  thank you so much 🙏"
272,"On the discussion of nuclear, the I believe race to the fusion reactor is the most important discussion. and the UK seems to be leading the race"
273,"See and listen to the interviews and press conferences of Vladimir Putin, still available on YouTube!"
274,"Such an important conversation-spasiba.  Patrick Lancaster is a former USN, married with children to a Ukrainian, lived there for over 8 years and speaks fluent, Russian, English, Ukrainian and has a YouTube channel with first hand, on the ground reporting from Donbass.  Also, Canadian on the ground journalist Eva Bartlett."
275,"Ukraine currently is expendable imo. 
I used to be a British English language consultant, in Kyiv one year; and Odessa three. 
I left 31st March 2021 because of Putin even then; playing about on the borders.
I now live in Alanya Turkey region and a beautiful Med Sea climate.
324 days of 🌞 annually. 
Yesterdays temp (29th May) was 35c and almost ten hotter than last year 
(climate change it's been said.)

Mankind, at stages in world history; has always been expendable."
276,Regarding Energy being a reason for starting war - I have understood that the primary reason Japan attacked Pearl Harbor was because of the US was limiting the oil supply to Japan and Japan felt their only option was to destroy the US Atlantic Fleet so they could be able to take control over the South Pacific.
277,I'm with you all the way Oliver <3
278,"Thank you for making this happen Lex!
This was sad to watch, however. Stone's defence of RT's journalistic standards is just embarrassing. I don't get why people think that picking RT in opposition to BBC, AP, Reuters, or PBS will suddenly make you a truth-seeking independent thinker. Stone's views and his docs on Ukraine are full of misconceptions about Eastern European history, not to mention the praise for Putin or more recently Medvedchuk. The unapologetic pro-Kremlin messaging is indistinguishable from RT pseudo investigations and conspiracy documentaries."
279,what an opening..love it x
280,Stone seems to underestimate russia but at least he is more neutral and not like msm.
281,Lmao if this interview happend a week later there would be talks of George Busha saying Iraq
282,"Lex, I really enjoy your podcasts, pretty much without exception, but often you have a guest on where the conversation flows in such a way that it's a case of ""sit back, relax and enjoy"". Sure people have subjective opinions - but it's so engrossing to learn how a person, a mind, comes to their conclusions and explains the progressive observations. Maybe I'm sounding a little high falutin, but it's really like successful dinner party... now I have gone too far! Cheers from London ol' chap!"
283,Love Oliver Stone. Thinking about Lex’s tart spooky whole 🤔
284,"1:24:40 I would like to discuss the Budapest Memorandum of December 5, 1994, which the distinguished Mr. O Stone does not bring up by pressing the nuclear weapons pedal, as if Ukraine (still) had such an arsenal, Mr. Stone, passing in silence over this treaty; the fact that Russia is the one that does not recognize and does not respect this treaty, like many other treaties (still) in force. In fact, Russia is positioning itself on a strategy of reconsidering all political and territorial establishments in Europe with a single purpose: as long as it promotes and supports a policy of denial of political bases and territorial treaties between European countries, it creates the context to put in question the stability of any region by free will. In other words: ""The Russian state does not recognize this status quo, so it claims its right to act accordingly."" Europe itself, each region has been the subject of countless wars throughout history, countless empires have forcibly encompassed entire nations (Balkans, Austro-Hungarian Empire, Yugoslavia, Romania, Bulgaria, Ottoman Empire, Greece, Cyprus, Crimea, Baltic countries, Poland, Prussia ...). So I'm quite disappointed in Mr. Lex Friedman that he's not asking Mr. O Stone the questions. From my point of view, the dialectic that Mr. Stone ""adopts"" (in fact, I allow myself the freedom to say ""borrow"") is that of reversal of roles: the aggressor is in fact the victim. The aggressor, in fact, is not so detestable, because he may have had some motive to carry out his actions, because, isn't it, Mr. Stone, the victim could have been guilty as well. I understand that Mr. Friedman is in a deep admiration for his guest (and I would be so), but I think the right questions better put certain situations in context."
285,"It's easy to ""express yourself freely"" when you are a dictator or a billionaire.Jeez...."
286,Glory to Ukraine inside Russian Federation. Make Russia Stronger Again. Long live Putin and smart people around him.
287,Stone is clearly in love with Putin
288,"""Even Switzerland has joined the cause"". It joined the cause in WWII too,  by keeping Nazi gold safe. I think Stone should make a movie about Sean Gervasi although Gervasi`s son is a famous director too."
289,"There are several points during this interview that Stone literally sounds insane. After watching a few of Lex's discussions, I get the impression that he is not going to push back a lot with his guests, but I really wish he had done so a few times here."
290,"Fridmen your Persantation is very impressive and your ability of digging important issues is very impressive,,"
291,Wow Oliver is starting to get out of touch with reality.
292,One of Lex’s best interviews; I love how Oliver Stone speaks with no filter and no ego. And his knowledge of history is unprecedented.
293,You should interview Scott Ritter. Also Ray McGovern. And Regis Tremblay.
294,Thanks Lex -the best dressed podcaster on the web. Great guest.
295,Have you ever interviewed Bush? Would be interesting to listen to what he has to say about the USA empire when he was the ruler.
296,"France never actually left NATO, per se. DeGaulle downgraded France's membership in NATO and withdrew France from the U.S.-led military command to pursue an independent defense system.  In 2009 France rejoined NATO's military command."
297,"Mr. Stone I really prey for your well being, just because the globalists simply do not like people like you!"
298,"If a 200 meter (in  height) industrial wind turbine was installed  on every square mile of all USA land and if one third of all
the USA's  land mass was  covered with solar farms,  (assuming there was no nuclear).   Next if for some reason all fossil
fuel was unavailable,  these renewables cannot be used at all.    No non nuclear electrical system can operate on wind and
solar alone.   Oliver should have interviewed me."
299,"Waiting for the podcast ""Biden, Zelenski and war in Ukraine"""
300,"I love this man, his sense for justice, his look and beautiful, soft voice... although discusses politics his voice is very sexy:)))
God bless, please take care"
301,"WOW What an interview,  My thoughts and thinking exactly. Thank you,


Can you try and interview S. Lavrov"
302,Really great interview!
303,Really sad when Roger gets duped by one shell in the shell game.
304,"I am from Denmark. My government have gone completely mad since the war. Now any sense there were left has been lost in the name of ""green energy"", and ""cut of Putin's income"". The problem is however, that they always chose the wrong paths, leading us into complete future failure, because they are shutting down our energy sources and stability, before we have any real alternatives for the future, effectively cutting of the country's limbs.
Politicians think everything can be solved with solar panels on the roof, and magic."
305,"I've just discovered Lex, i'm amazed by the guests he gets and am yet to research his background, but even more impressive is his listening skills. I find him such an accomplished interviewer precisely because he doesn't say all that much, he elicits some really great stuff from his guests that way, and clearly it resonates - the next big podcast it seems!"
306,This feels like an Op Lex. Musk as well? We see you Lex.
307,"I agree that nuclear energy is the only real alternative in the short and medium term. But it is not true that only 50 people died in the Chernobyl accident. Yes, maybe, in the accident, but many more people died, thousands, due to the consequences of the accident."
308,"Thank you for doing this interview. Oliver Stone was the one who introduced me to Jimmy Dore's show, for that alone I am eternally grateful. To say nothing of the body of work he's done and the courage with which he's gone against the strongest of grains throughout his career whether it was Fourth of July, the Putin Interviews, the Snowden movie, the 'True History...' his military service, his outspoken speeches when receiving awards and on and on..."
309,"“And here comes wackadoo film  director Oliver Stone, Oliver is here promoting his new movie “Born on the Fourth of July 2: Born on the Fifth of July” which he promises will be even more “July-ier” than the original. A dangerously insane human being.”"
310,"One dimension regarding Hitler: he was aware that Britain rapidly realised the wrong that was Versailles, and worked to walk it back and not drive it forward."
311,This is one of the top interviews I have heard in many years. Thanks Honesty is obvious Excellent job
312,"Great interview, great questions, answers and insights."
313,"I agree with this man !
Try to watch ""Pandora Promise"", a great documentary"
314,Thank  you so much for such intresting interview!!!!
315,Love Lex's accent - sounds like Travis Bickle
316,"I would like to recommend an important book called ""The Grand Chessboard"" (1997) by Zbigniew Brzeziński. He explaines the american geoplitics regarding china, europe and russia."
317,"Good interview by Lex, but a lot of the things Stone is saying is insane."
318,Great show
319,I am shocked that Oliver Stone claims NO ONE DIED at FUKUSHIMA - WTF
320,Europe spent fourteen long years since the Bucharest declaration of 2008 playing Ukraine prevaricating delaying obfuscating Ukrainian entry into NATO. Western indecision has been tragic. As for Ukraine 'invading donbas' well it is Ukrainian sovereign territory any restoration of sovereignty is legitimate.
321,Scar face is as good as taxi driver you are hero you are a gentleman wonderful interlect good memory good historian I pray they don't slam the internet shut in in your face because it's our life line
322,Incredible interview. Thank you
323,"The fact that Oliver stone only thinks 6 people died as a result of Chernobyl is alarming. Not knocking nuclear energy, I support it. But come on...."
324,What a great interview
325,Josh Goldstein and his book on climate change. That’s all I need to hear from a “rogue” like Oliver Stone.
326,Mr. Stone is completely detached from reality when it comes to Europe and it's relation to Russia although his work on covering what US is doing in many places in the world is second to none.
327,I'm so disappointed that Stone said Russia should not have invaded!
328,The problem with Oliver stone is not what he says. Its what he doesn't say. He doesn't answer direct questions.
329,"I've watched so many Lex Fridman podcast episodes, and suddenly today - i realized i have NOT yet subscribed!    The prompt -  ""Please thumbs up and subscribe""   Really works!"
330,"This is the most informative podcast I have ever seen.....so thanks to both of you. I've thought a lot about this situation in Ukraine and I have a theory. Oddly enough, I think it is being influenced by a ""higher authority"" and I believe that it is the beginning of the end of war. In addition to handling the Donbas region, my understanding is that areas that held munitions were heavily hit. I've also read that weapons producers are running low on them. I think that was what Vladimir Putin had in mind, once it was clear that the treaties and the talks were not changing the scenario. I believe that it has been and will continue to be true that the ones who are involved for the wrong types of reasons will find that their plans backfire on them. That's what happens when mindsets don't seek knowledge."
331,Awesome. Thanks so much.
332,"Wow, I'm shocked, the guy seems to be very Pro-Putin. He should ask himself if he could say stuff like that about his country if he was Russian and not be jailed?"
333,Blessed are the peacemakers ☮️ Stupidity should be painful 💜
334,"In that interview with Putin, one question that struck me was when they were walking through the garden and Oliver asked Putin if he would lose a war against the United States and with out a pause he very confidently replied no - makes one wonder what Putin knows and what he has ."
335,"Lex Fridman, you are a great interviewer... your questions are well structured, thoughtfully framed and show great depth of understanding and relevance... 
i have spent my career asking questions (more than 30 years)...  not in public as you do but behind corporate walls.. asking the right questions, in relevance and understanding is the key to understanding everything about anything...
and our cultural programming prevents many intelligent beings from asking the right questions... 
you Sir, are a treasure
as is Oliver Stone"
336,"So glad to find this channel! Lex is a superb interviewer, simply the best. New subscriber."
337,"Lex has a certain apperceptive mass, as Oliver Stone does as well. One has to probe that dimension
of perception, to get at truth. Philosophers can do that. Apperceptive mass is outside of the individual
getting into himself. Or so I think. Apperceptive mass is the Other external to the true self inside self."
338,Who would ever thought we'd ever come to a two-tier Justice system.
339,Great interview. Thank you!
340,"My problem with Olivier Stone is that he suffers from some of the worst confirmation bias around, especially when it comes to history."
341,"People might die not immediately from nuclear accidents, but what are the effects of excess radiation?  This really needs to be studied & the facts revealed."
342,"Good interview, Lex. I imagine you had difficulty restraining yourself sometimes, but you stuck to a professional, controlled role. Your interview gave me some new perspectives to think about. It's always useful to be able to consider new perspectives."
343,I applaud Oliver on his candor and openness in this interview. What a pleasure to watch. Thanks Lex for bringing him on
344,"@10:20 the guy totally forgets that nuclear radiation lasts a long time and the area aroundChernobyl and Fukushima Dhahinchi is still uninhabitable. But hey, Stone read a book and now he's a damn genius, right?"
345,Stone snorted one too many lines… “I saw Russia media criticism…” now they are all dead… ok Oliver.
346,Greetings from Saigon where I a person from New York City now 68 years old have been living half my life. Harking back to the logo of the New York World's Fair of 1964-65 which I remember enjoying as a child I humbly remind... Peace through understanding! When I was growing up... Vietnam was one of the more dangerous places to be. Now it is among the safest.
347,This interview is amazingly inspiring and very well made.
348,"Oliver Stone approached me on the NYSE floor and offered a spot in his movie, but I was taking a NY Inst of Finance exam for Wesleyan credit that night.  I harassed him loudly for his pony tail.  He was a good sport about it.  I clerked for Bear Stearns in the Blue Room in 1987."
349,Olivier Stone is LEGEND
350,We speak with fear here in U.S. as well.  Who would dare to speak in favor of Russia in a professional working environment these days?
351,"I found most of the stuff, specially when talking about Russia, delusional"
352,"downplaying chernobyls environmental and social/health impact is dangerous. I believe in nuclear energy's role in the world , but don't say 'only 50 people died'. Chernobyl was a global environmental disaster that's effects are still being felt accross Europe."
353,"Good one, Thanks!"
354,"Just subscribed, found you on Joe Rogan’s podcast. Respect! 😊✌️"
355,"Yes to play devil’s advocate, fittingly - psychopaths are cool, calm, and collected. Yes they can also be rather charming, and fool many people. Of course there have been/are plenty in politics. I certainly don’t trust anyone in government/power, no matter how well they talk their talk and carry themselves. Always leave room for doubt, and question everything - especially with politics."
356,"I respect you Lex for this interview, it's a healthy to hear all sides perspectives."
357,Wow - this is one of the best interviews with Oliver Stone I've ever watched or listened to.
358,"Great interview, very interesting to listen to Oliver's points."
359,"Man pretty one sided view on things, just explain to Ukraine population and the ones who lost family that they deal with a calm and decent human being who is just sad about how U.S. treated him.. of course all his war crimes make sense now, he is not aggressive at all"
360,amazing interview.  I've never seen such an indepth conversation with Oliver Stone (who I admire greatly).  Superb job.
361,"Jesus Christ, Stone's senility has set in... 
His list of sovereign countries doesn't include Ukraine 🤔
Stone will be singing Trump's praises in a minute"
362,"1:39:00 It makes me think of how expedient winning an argument or 'gotchas' are when interviewing contentious or evil figures as opposed to seeking that fundamental conscience that drives them. If in 1941, someone was to try to truly understand Hitler in a televised interview, they would get branded a sympathiser or at the very least unhelpful yet this is the interview that would be most insightful to the human race and one in which every thinking person alive now wishes existed. We need far fewer antagonistic interviews and moral posturing if we, including the future generations, want to fully understand human nature and the events of our time. It remind me of Hannah Ardent''s quote 'to understand is not to forgive'. Well done for exhibiting this ideal Lex ."
363,"Спасибо за лучшие англоязычные интервью на ютубе, Лекс❤️"
364,"Wow, Oliver, wrong on all 10 counts!!    [time point 54.50}.     Must be a record.  You were wrong, wrong, wrong.  How can you think Putin could have been wrong on something so big, so important, needing so much thought, balance, information.  Remember next time an old saying ""if you disagree with someone who has access to much more information than you do,  it's probably that you are wrong"".    And in regard to being ""isolated from Europe"" does it occur to you that Russia doesn't care; doesn't' need these nations who have threatened them for over 400 yrs, , when she has access to entire rest of the world????   Putin wasn't wrong to go into Nazi Ukraine, which was building up troops on the border with Donbass {Russian} in the thousands, and had mucho mucho backing from CIA and America.   Remember something he said a while back ""50 yrs ago, the streets of Leningrad taught me one thing: if you see a fight is inevitable --- strike first""!!!    He did that in Chechnya, Georgia, Syria.  And it always works."
365,"Please Oliver Stone make a film 'Alexander the Great as King of Macedonia not Greece..."""
366,"Mr. Stone, I totally hear your thoughts and I admire your talent and brain. But what surprised me was that how freely, without fear and without pleasing the government of your country you can express your thoughts. Lot of people in Putin’s Russia or Kazakhstan can NOT afford the freedom and do NOT feel safe to speak freely or criticize their government."
367,"Come on, you and everyone else knows that nuclear accidents are covered up so, the actual numbers that had died are far greater than you say."
368,"Great interview, thanks"
369,"I've been lucky to discover your podcast from the very beginning, so I happily watched 95% of your episodes. Your open mind and curiosity are inspiring so thanks for evrything you do.

Unfortunately, during this episode it felt like I'm watching another Lex, who for some reason completely failed to challenge the guest and just let him go ahead with any claims that he made, putting dictator putin on a pedestal and talking in a very disrespectful manner about the Ukrainean citizens, among others (no, I'm not Ukrainean). He made some gross generalisation suggestion that the Ukrainean army is a far right extremist movement in a miserable attempt to discredit them while also suggesting that those war crimes that the Russian army commited are not what we think they are.  Also, if I just came from another planet, following him I'd think that Russia is heaven on earth while the US and Europe are authoritarian regimes where no one wants to leave. I guees that says a lot (just check how many independent newspapers and TV stations are left in Russia, for example) . I appreciate freedom of speech and of course he can say whatever lies he wants, but given the high standards that you set, Lex, and as a sign of respect towards your audience, it would have been nice to challenge his ""arguments"" and help us see the truth as it is not as some putin fan imagines it."
370,"22:52 Stone: ""Poland was always attacking Russia since I remember""_____ wow____ now that should be the clickbait of this episode Lex."
371,Stone 's analysis is spot on//THe Azov act with impunity..THey even provocated Poland 2019 having Bandera day in Lvov
372,Go Russia ! Love to the best leader in world -Putin is ! ❤️
373,Oliver Stone is a Cinema Titan
374,He is actually 100 percent correct about the efficiency to safety ratio advantage of nuclear energy. Especially concerning safety towards the environment. It’s not even close. It’s just scary to people but hopefully we get over it.
375,Fascinating. Brilliant. Stone is right about www.wikipedia.com slanting info or leaving info out.
376,"It's about time… If we had continued developing thorium reactors in the 50s, we would not be in the climate mess we are in today."
377,Just one remark: there is a very good book about resource based wars & crimes by Dr. Daniele Ganser (from Switzerland). It's worth reading.... very factual...
378,We are in a totally different Era.  What Pitin has done is unacceptable.  I see Olivers points but we are dealing with a different generation and a different mindset. Nothing against the Russian people.  Most of the o es I encountered are very nice.
379,"oh man, this is that good trouble, i doubt the OTAN could like this choice you took of bringing oliver to talk. praises to you lex, you f´´´´´ did it, you really went out the OTAN propaganda machine to look for the grey"
380,"Very good conversation about what IS REALLY going in the World today, I can't imagine why the USA and Russians can't start doing good for each other. WAR is so old.  Hats off off to both of you.  Very enjoyable listening. Many thanks!"
381,Oliver Stone for Russian ambassador in 2024!!!
382,"Excellent interview with Oliver,  so much to learn, thank you for your great questions LEX,  and what a great guest 👍👍👍🙏"
383,"Interesting paralels – The citizens of countries neighboring Russia would cringe at many ideas that Oliver is presenting. It feels like Oliver's ideas are at a more Strategic level vs the Tactical level of the Russia's neighbors. 
And  it's so true that this ""Good"" vs ""Bad"" guys is so nuanced that there's barely a difference. One sees what one wants to see. As there is no lack of examples of Americans meddling in affairs of  other country states for the sake of ""freedom"".
Controversial ideas that provide additional context, but isn't it a feature of democracy to be ""flexible"" and start leaning towards ""autocracy"" when threats arise? That way existential decision can be made faster (for better or for worse)? Otherwise one could debate till the end of time is Putin a ""Bad"" or ""Good"" guy till the end of time? Of course the mechanism for reversion towards normal ""democracy"" takes a lot longer than ""autocracy""?"
384,He certainly looks like the richest man in the world as he walks down what looks like a mile long hallway with nobody else in it. As he sits 30 feet away from his closest advisors and government leaders.
385,"1:08:50 Also problems in all the former soviet union states like Kazakhstan for example, a situation made by Stalin by transportation of people and rewriting borders etc. So is Russia going to have wars with all its former satellite states?"
386,"I stopped watching as soon as it became apparent that Stone is still pushing the climate change alarmist line that Carbon Dioxide is a bad thing. Over the last 140 million years atmospheric carbon dioxide has decreased from 4000 ppm to something like 300 ppm, dangerously close to the 150 ppm survival threshold for all vegetation on earth; due to the continual burying, and locking in of, carbon bearing marine sediment. The slight carbon dioxide releases over the last century are hugely beneficial to life on earth and have helped to green the planet."
387,Oliver Stone is so right! But Putin? Russia?
388,Oliver stone has expressed his views of Putin clearly and concisely.  Great interview.
389,"If you're trying to work towards truth, reason, consensus on reality, reconciliation / connection / education, or you're like Lex here, and trying to just be better about the way you treat people when arguing or debating, I appreciate you.

This isn't an ad and I'm not doing this out of any personal gain; if everyone does well, and I'm part of everyone, that's good for me. So, that in mind, a couple of years back, I came across a fantastic resource for reaching out to people who believe things that are, simply, wrong. Beliefs born of emotion instead of logic or reality. YouTuber Anthony Magnabosco has a series he's titled ""Street Epistemology,"" where he displays conversations and commentary, showing how to help people question themselves, and help them reach the truth via their own efforts. He'll talk to people, on campuses for example, because he can follow up once or twice over the following weeks or months, having left his acquaintances to think on their own time for a while. It's incredible to see the long, silent pause in the conversation with Magnabosco, as they start to honestly ask themselves things that no debate or graph or consensus had yet been able to incite. He lets them know that he's recording, so we get to benefit from seeing people as they realize (for example) they've been clinging to ideas and beliefs, willfully ignoring overwhelming contrary evidence and / or a complete lack of any supporting... simply because they heard it from a trusted adult when they were little, or because they've reached a very brittle comfort from avoiding harsh realities of human life. These people can stop pursuing ideas and actions that are damaging our world and each other. They're better equipped to build a solid picture of their existence through unflinching analysis of their experiences, and evaluating those of others. They're left with an improved ability to handle hardships or conflicting ideas, as mere concepts or questions are no longer able to wreck a worldview they've created around baseless core beliefs. 

The way Americans used to treat prisoners of war was known far and wide, particularly when contrasted to, say, Soviet, German, or Japanese captors, during the 1930s and '40s. Soldiers heald tales, of how they'd have a better life as a US military prisoner than they would if they continued fighting for their own country. So notoriously cushy were the conditions of imprisoned enemy soldiers (again, relatively so), it inspired those soldiers to at least strongly consider surrender to American forces when going got tough and morale was low. Those famous post-war Soviet defections would never have naken place if the defectors thought they'd be worked or starved to death, between beatings. Anyone who knew about what happened to anyone who dared surrender to the Japanese, for example, would be best advised to fight like hell until either victory or death.

Frustrated though we all certainly are, we best serve our own interests by working to win people to our side. Sure, facts, reason, and logic are important, but we win the most people over by treating our adversaries with respect and dignity, answering questions with unflinching honesty, and, most importantly, relating on a personal level.

If we can form a relationship, we're no longer a faceless straw-man caricature, ripe for demonization and hatred.

If we are honest at all times, even if it shows our side in a negative light, people we've befriended can gain confidence that we will convey what we truly believe to be the truth about things they don't like, believe, or agree with. It's difficult and downright rude, at that point, for adversarial but mutually respectful parties to avoid giving some weight and consideration to each other's beliefs and arguments."
390,"Senhor Putin, seus camaradas e a Rússia, são Fodas."
391,"Oliver Stone is so naive. He thinks these autocrats are honest, good ordinary people. But they are good at charming and manipulating, and they have clearly charmed Stone."
392,"I  studied Geopolitics and European history for the better part of 40  years. I  love Oliver Stones films, and admire his work. But I  have to  say his political analysis is  heavily biased, and cannot be taken at its appearance, much as most things in  the public domain. But he talks like a verbose man and bordering naivete. I  lived both in the US, a while in Canada, Sweden and Norway. Now in Poland. And I  have little acceptance for  this brilliant mans analysis. Thank you  for  the films, though."
393,One question If Russia has so powerful weapons why are they even afraid of Nato? It does not make any sense at all!!!!
394,Would like to see him back on with somebody who has a better grasp of the Ukrainians side of things
395,"And again very interesting interview by Lex. Only one thing mr.Stone said and I complitly disagree is about ""tought"" UA censorship. I doubt he personally visited Ukraine after 2014. As an example, you may check on ""Anatoly Shariy"" story on wiki. And Medvedchuk, Oliver mentioned, openly criticised Poroshenko-Zelensky and had pretty successful pro Russian political party before 2022 war began"
396,Thank you for the research and films. But you are one of 81 million reasons why we are here now!
397,"I love Stone as a filmmaker but when he said only 50 humans have died from nuclear disaster, I question his logic. The scale of nuclear energy isn’t the same as fossil fuels and those numbers do not include long term affected by poisoning from radiation and cancer,a hard thing to prove. If it looks like shit and smells like shit, it probably is. Watch “Three Mile Island”. Stay for the end to find out if anybody dies from fallout."
398,This is one of the best open minded interviews ever....
399,life is a book that was made for all .lex your a interest to all. very well put to gather good luck in your life.
400,33:46 That adage applies much better to the American Empire and why they should not have the world reserve currency.
401,Sovereignty for single leader despots? Pound sand Oliver.
402,Awesome interview. Eye opening.
403,"Good interview but I find this chap an extraordinarily compromised individual. He’s really reading this all a bit oddly. It’s a very American centric view, but the idea we’ve followed America like cattle in resisting Russia is ignoring several centuries of Russian imperialism. Our history, culture and collective mindset means Europe is and always has been cautious about Russian expansionism."
404,Stone is so willing to acquiesce to Putin’s version of events that he ends up being viciously trolled. He says that Russia has free press and says that the RT news channel had marvelous and accurate news feed...
405,Where do I find this 4 hour interview with Putin? What's it called?
406,oliver stone sounds pretty much exactly like my grandfather (we are germans) when he explains why mr hitler invaded poland and chech republic. it is frightening how close it is
407,"Russia has had more intellects than ""McDonals."""
408,Saw Oliver Stone and new this would be awesome. Nuclear may not have killed many people at 0hr of the incidents but I can assure you the toll is a lot higher after the fact and not to mention the many many other negatives to the environment and health should be taken seriously and not just glossed over like that.
409,"The way Americans pronounce ""Putin"" is disastrous.  It generally comes out much better in British English (at least,  in what is considered standard British pronunciation.)"
410,"Thank you for hosting the amazing Oliver Stone, you're now on the ""Free Speech"" subscriber list.!"
411,Hitler didn't go after the british? what was the blitz of 1940 about and the battle of britain which he lost. the invasion barges that was gathering in france and that got called off when he lost the battle of britain. If Churchill was all about preserving the empire he would not have declared war after germany invades poland. This bloke is amazingly dense for a filmmaker.
412,REALLY REALLY .....ONE OF THE BEST INTERVIEWS I HAVE SEEN .......THANKS TO YOU BOTH....
413,God Bless and safe  thanks for great information
414,"Underscoring what Mr. Stone said about what makes a good interview, I've come to the realization that everyone simply wants to be heard, to be understood. Whether or not you agree with them or have a solution is secondary, primary is that they want to be heard, not to be invisible."
415,"Including renewables, we need to create the cleaner and safer forms of nuclear energy.  There are great ways of using nuclear energy and ways to avoid it."
416,Stone seemed to back Putin/ Russia more than I would expect. Interesting...
417,Yeah i like Elon musk too he's like a Ace and a hole for Twitter. We need a platform we can talk on without getting shut  completely down by left no doubt.
418,"And then Stone says:
.(paraphrasing)..' it's in the interest of Ukrainians to keep its civilans from escaping through the corridors'
 Stone does this:  he makes sense, he walks logically, and then:  BOOM! he drops a totally illogical, untrue statement/conclusion...
Oliver turns on the lights  ,(for which we thank him), but then comes to totally wrong conclusion..."
419,Asking a film maker about politics? How about my 7 yr old son too?
420,"But apart from the initial bit about nuclear power, the remainder was insane. With nuclear having nut cases like these on it's side, it's no wonder the world is in a mess"
421,"Turns out all those who wrote ""not positive"" articles were right about him. Surprise."
422,Brilliant episode!
423,"Very telling as well, regarding our Moderator;  rather than saying there is something about talking with a person who is telling the truth, our moderator said, there is something about talking with a ""man"" who is telling the truth."
424,"Hate to break it to you Lex, but if you can't draw a line between good and evil...people notwithstanding...you are too afraid to fight for what you believe in."
425,so it was the US the whole time. Damn it they got us again
426,Brilliant!!!
427,"Oliver Stone every word, speeches, interviews is so powerful to whole world  his knowledge, experience  is very important in these times !"
428,"Would be very interesting to have Kasparov on, then Kasparov and Oliver stone on at the same time. It's important to give people their chance to speak but it's also important to have a debate."
429,"The simple fact that this video has 30% down votes shows the importance of Oliver Stone. Americans just do not like to be told they are not an honest power, that they do evil for their own self gains - as other nations do. They are told daily they are the best and do not like to be reminded they are a deeply flawed nation. Honest conversations must be told regardless of your feelings."
430,Can anybody substantiate Stone’s claims that Ukraine was amassing troops near the Donbas region prior to the Russian Invasion?
431,Oliver stone talks to a russian secret agent 😄
432,Thank you Lex for doing this interview. I so wish we had more people like Oliver Stone who understands the world in a practical way and sees the world the way it actually is and not a painted picture from the media. Semper Fi Oliver!
433,"He is attacking american imperialism and then proceeds to defend russian imperialism. 
Integrity."
434,One of the best interviews
435,Oliver Stone's a standup individual.
436,It's amazing how someone like Oliver voted for Biden because he feared Trump. You'd think being so well informed on Putin's demonization by the west would have given him some perspective.
